icd10_code,icd10_definition,icd10_codes_L1,is_sci
S12130A,"unspecified traumatic displaced spondylolisthesis of second cervical vertebra, initial encounter for closed fracture",S121,0
S12130B,"unspecified traumatic displaced spondylolisthesis of second cervical vertebra, initial encounter for open fracture",S121,0
S12130D,"unspecified traumatic displaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with routine healing",S121,0
S12130G,"unspecified traumatic displaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with delayed healing",S121,0
S12130K,"unspecified traumatic displaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with nonunion",S121,0
S12130S,"unspecified traumatic displaced spondylolisthesis of second cervical vertebra, sequela",S121,0
S12131A,"unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra, initial encounter for closed fracture",S121,0
S12131B,"unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra, initial encounter for open fracture",S121,0
S12131D,"unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with routine healing",S121,0
S12131G,"unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with delayed healing",S121,0
S12131K,"unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with nonunion",S121,0
S12131S,"unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra, sequela",S121,0
S1214XA,"type iii traumatic spondylolisthesis of second cervical vertebra, initial encounter for closed fracture",S121,0
S1214XB,"type iii traumatic spondylolisthesis of second cervical vertebra, initial encounter for open fracture",S121,0
S1214XD,"type iii traumatic spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with routine healing",S121,0
S1214XG,"type iii traumatic spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with delayed healing",S121,0
S1214XK,"type iii traumatic spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with nonunion",S121,0
S1214XS,"type iii traumatic spondylolisthesis of second cervical vertebra, sequela",S121,0
S12150A,"other traumatic displaced spondylolisthesis of second cervical vertebra, initial encounter for closed fracture",S121,0
S12150B,"other traumatic displaced spondylolisthesis of second cervical vertebra, initial encounter for open fracture",S121,0
S12150D,"other traumatic displaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with routine healing",S121,0
S12150G,"other traumatic displaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with delayed healing",S121,0
S12150K,"other traumatic displaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with nonunion",S121,0
S12150S,"other traumatic displaced spondylolisthesis of second cervical vertebra, sequela",S121,0
S12151A,"other traumatic nondisplaced spondylolisthesis of second cervical vertebra, initial encounter for closed fracture",S121,0
S12151B,"other traumatic nondisplaced spondylolisthesis of second cervical vertebra, initial encounter for open fracture",S121,0
S12151D,"other traumatic nondisplaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with routine healing",S121,0
S12151G,"other traumatic nondisplaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with delayed healing",S121,0
S12151K,"other traumatic nondisplaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with nonunion",S121,0
S12151S,"other traumatic nondisplaced spondylolisthesis of second cervical vertebra, sequela",S121,0
S12190A,"other displaced fracture of second cervical vertebra, initial encounter for closed fracture",S121,0
S12190B,"other displaced fracture of second cervical vertebra, initial encounter for open fracture",S121,0
S12190D,"other displaced fracture of second cervical vertebra, subsequent encounter for fracture with routine healing",S121,0
S12190G,"other displaced fracture of second cervical vertebra, subsequent encounter for fracture with delayed healing",S121,0
S12190K,"other displaced fracture of second cervical vertebra, subsequent encounter for fracture with nonunion",S121,0
S12190S,"other displaced fracture of second cervical vertebra, sequela",S121,0
S12191A,"other nondisplaced fracture of second cervical vertebra, initial encounter for closed fracture",S121,0
S12191B,"other nondisplaced fracture of second cervical vertebra, initial encounter for open fracture",S121,0
S12191D,"other nondisplaced fracture of second cervical vertebra, subsequent encounter for fracture with routine healing",S121,0
S12191G,"other nondisplaced fracture of second cervical vertebra, subsequent encounter for fracture with delayed healing",S121,0
S12191K,"other nondisplaced fracture of second cervical vertebra, subsequent encounter for fracture with nonunion",S121,0
S12191S,"other nondisplaced fracture of second cervical vertebra, sequela",S121,0
S12200A,"unspecified displaced fracture of third cervical vertebra, initial encounter for closed fracture",S122,0
S12200B,"unspecified displaced fracture of third cervical vertebra, initial encounter for open fracture",S122,0
S12200D,"unspecified displaced fracture of third cervical vertebra, subsequent encounter for fracture with routine healing",S122,0
S12200G,"unspecified displaced fracture of third cervical vertebra, subsequent encounter for fracture with delayed healing",S122,0
S12200K,"unspecified displaced fracture of third cervical vertebra, subsequent encounter for fracture with nonunion",S122,0
S12200S,"unspecified displaced fracture of third cervical vertebra, sequela",S122,0
S12201A,"unspecified nondisplaced fracture of third cervical vertebra, initial encounter for closed fracture",S122,0
S12201B,"unspecified nondisplaced fracture of third cervical vertebra, initial encounter for open fracture",S122,0
S12201D,"unspecified nondisplaced fracture of third cervical vertebra, subsequent encounter for fracture with routine healing",S122,0
S12201G,"unspecified nondisplaced fracture of third cervical vertebra, subsequent encounter for fracture with delayed healing",S122,0
S12201K,"unspecified nondisplaced fracture of third cervical vertebra, subsequent encounter for fracture with nonunion",S122,0
S12201S,"unspecified nondisplaced fracture of third cervical vertebra, sequela",S122,0
S12230A,"unspecified traumatic displaced spondylolisthesis of third cervical vertebra, initial encounter for closed fracture",S122,0
S12230B,"unspecified traumatic displaced spondylolisthesis of third cervical vertebra, initial encounter for open fracture",S122,0
S12230D,"unspecified traumatic displaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with routine healing",S122,0
S12230G,"unspecified traumatic displaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with delayed healing",S122,0
S12230K,"unspecified traumatic displaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with nonunion",S122,0
S12230S,"unspecified traumatic displaced spondylolisthesis of third cervical vertebra, sequela",S122,0
S12231A,"unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra, initial encounter for closed fracture",S122,0
S12231B,"unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra, initial encounter for open fracture",S122,0
S12231D,"unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with routine healing",S122,0
S12231G,"unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with delayed healing",S122,0
S12231K,"unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with nonunion",S122,0
S12231S,"unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra, sequela",S122,0
S1224XA,"type iii traumatic spondylolisthesis of third cervical vertebra, initial encounter for closed fracture",S122,0
S1224XB,"type iii traumatic spondylolisthesis of third cervical vertebra, initial encounter for open fracture",S122,0
S1224XD,"type iii traumatic spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with routine healing",S122,0
S1224XG,"type iii traumatic spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with delayed healing",S122,0
S1224XK,"type iii traumatic spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with nonunion",S122,0
S1224XS,"type iii traumatic spondylolisthesis of third cervical vertebra, sequela",S122,0
S12250A,"other traumatic displaced spondylolisthesis of third cervical vertebra, initial encounter for closed fracture",S122,0
S12250B,"other traumatic displaced spondylolisthesis of third cervical vertebra, initial encounter for open fracture",S122,0
S12250D,"other traumatic displaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with routine healing",S122,0
S12250G,"other traumatic displaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with delayed healing",S122,0
S12250K,"other traumatic displaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with nonunion",S122,0
S12250S,"other traumatic displaced spondylolisthesis of third cervical vertebra, sequela",S122,0
S12251A,"other traumatic nondisplaced spondylolisthesis of third cervical vertebra, initial encounter for closed fracture",S122,0
S12251B,"other traumatic nondisplaced spondylolisthesis of third cervical vertebra, initial encounter for open fracture",S122,0
S12251D,"other traumatic nondisplaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with routine healing",S122,0
S12251G,"other traumatic nondisplaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with delayed healing",S122,0
S12251K,"other traumatic nondisplaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with nonunion",S122,0
S12251S,"other traumatic nondisplaced spondylolisthesis of third cervical vertebra, sequela",S122,0
S12290A,"other displaced fracture of third cervical vertebra, initial encounter for closed fracture",S122,0
S12290B,"other displaced fracture of third cervical vertebra, initial encounter for open fracture",S122,0
S12290D,"other displaced fracture of third cervical vertebra, subsequent encounter for fracture with routine healing",S122,0
S12290G,"other displaced fracture of third cervical vertebra, subsequent encounter for fracture with delayed healing",S122,0
S12290K,"other displaced fracture of third cervical vertebra, subsequent encounter for fracture with nonunion",S122,0
S12290S,"other displaced fracture of third cervical vertebra, sequela",S122,0
S12291A,"other nondisplaced fracture of third cervical vertebra, initial encounter for closed fracture",S122,0
S12291B,"other nondisplaced fracture of third cervical vertebra, initial encounter for open fracture",S122,0
S12291D,"other nondisplaced fracture of third cervical vertebra, subsequent encounter for fracture with routine healing",S122,0
S12291G,"other nondisplaced fracture of third cervical vertebra, subsequent encounter for fracture with delayed healing",S122,0
S12291K,"other nondisplaced fracture of third cervical vertebra, subsequent encounter for fracture with nonunion",S122,0
S12291S,"other nondisplaced fracture of third cervical vertebra, sequela",S122,0
S12300A,"unspecified displaced fracture of fourth cervical vertebra, initial encounter for closed fracture",S123,0
S12300B,"unspecified displaced fracture of fourth cervical vertebra, initial encounter for open fracture",S123,0
S12300D,"unspecified displaced fracture of fourth cervical vertebra, subsequent encounter for fracture with routine healing",S123,0
S12300G,"unspecified displaced fracture of fourth cervical vertebra, subsequent encounter for fracture with delayed healing",S123,0
S12300K,"unspecified displaced fracture of fourth cervical vertebra, subsequent encounter for fracture with nonunion",S123,0
S12300S,"unspecified displaced fracture of fourth cervical vertebra, sequela",S123,0
S12301A,"unspecified nondisplaced fracture of fourth cervical vertebra, initial encounter for closed fracture",S123,0
S12301B,"unspecified nondisplaced fracture of fourth cervical vertebra, initial encounter for open fracture",S123,0
S12301D,"unspecified nondisplaced fracture of fourth cervical vertebra, subsequent encounter for fracture with routine healing",S123,0
S12301G,"unspecified nondisplaced fracture of fourth cervical vertebra, subsequent encounter for fracture with delayed healing",S123,0
S12301K,"unspecified nondisplaced fracture of fourth cervical vertebra, subsequent encounter for fracture with nonunion",S123,0
S12301S,"unspecified nondisplaced fracture of fourth cervical vertebra, sequela",S123,0
S12330A,"unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra, initial encounter for closed fracture",S123,0
S12330B,"unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra, initial encounter for open fracture",S123,0
S12330D,"unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with routine healing",S123,0
S12330G,"unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with delayed healing",S123,0
S12330K,"unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with nonunion",S123,0
S12330S,"unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra, sequela",S123,0
S12331A,"unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, initial encounter for closed fracture",S123,0
S12331B,"unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, initial encounter for open fracture",S123,0
S12331D,"unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with routine healing",S123,0
S12331G,"unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with delayed healing",S123,0
S12331K,"unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with nonunion",S123,0
S12331S,"unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, sequela",S123,0
S1234XA,"type iii traumatic spondylolisthesis of fourth cervical vertebra, initial encounter for closed fracture",S123,0
S1234XB,"type iii traumatic spondylolisthesis of fourth cervical vertebra, initial encounter for open fracture",S123,0
S1234XD,"type iii traumatic spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with routine healing",S123,0
S1234XG,"type iii traumatic spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with delayed healing",S123,0
S1234XK,"type iii traumatic spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with nonunion",S123,0
S1234XS,"type iii traumatic spondylolisthesis of fourth cervical vertebra, sequela",S123,0
S12350A,"other traumatic displaced spondylolisthesis of fourth cervical vertebra, initial encounter for closed fracture",S123,0
S12350B,"other traumatic displaced spondylolisthesis of fourth cervical vertebra, initial encounter for open fracture",S123,0
S12350D,"other traumatic displaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with routine healing",S123,0
S12350G,"other traumatic displaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with delayed healing",S123,0
S12350K,"other traumatic displaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with nonunion",S123,0
S12350S,"other traumatic displaced spondylolisthesis of fourth cervical vertebra, sequela",S123,0
S12351A,"other traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, initial encounter for closed fracture",S123,0
S12351B,"other traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, initial encounter for open fracture",S123,0
S12351D,"other traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with routine healing",S123,0
S12351G,"other traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with delayed healing",S123,0
S12351K,"other traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with nonunion",S123,0
S12351S,"other traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, sequela",S123,0
S12390A,"other displaced fracture of fourth cervical vertebra, initial encounter for closed fracture",S123,0
S12390B,"other displaced fracture of fourth cervical vertebra, initial encounter for open fracture",S123,0
S12390D,"other displaced fracture of fourth cervical vertebra, subsequent encounter for fracture with routine healing",S123,0
S12390G,"other displaced fracture of fourth cervical vertebra, subsequent encounter for fracture with delayed healing",S123,0
S12390K,"other displaced fracture of fourth cervical vertebra, subsequent encounter for fracture with nonunion",S123,0
S12390S,"other displaced fracture of fourth cervical vertebra, sequela",S123,0
S12391A,"other nondisplaced fracture of fourth cervical vertebra, initial encounter for closed fracture",S123,0
S12391B,"other nondisplaced fracture of fourth cervical vertebra, initial encounter for open fracture",S123,0
S12391D,"other nondisplaced fracture of fourth cervical vertebra, subsequent encounter for fracture with routine healing",S123,0
S12391G,"other nondisplaced fracture of fourth cervical vertebra, subsequent encounter for fracture with delayed healing",S123,0
S12391K,"other nondisplaced fracture of fourth cervical vertebra, subsequent encounter for fracture with nonunion",S123,0
S12391S,"other nondisplaced fracture of fourth cervical vertebra, sequela",S123,0
S12400A,"unspecified displaced fracture of fifth cervical vertebra, initial encounter for closed fracture",S124,0
S12400B,"unspecified displaced fracture of fifth cervical vertebra, initial encounter for open fracture",S124,0
S12400D,"unspecified displaced fracture of fifth cervical vertebra, subsequent encounter for fracture with routine healing",S124,0
S12400G,"unspecified displaced fracture of fifth cervical vertebra, subsequent encounter for fracture with delayed healing",S124,0
S12400K,"unspecified displaced fracture of fifth cervical vertebra, subsequent encounter for fracture with nonunion",S124,0
S12400S,"unspecified displaced fracture of fifth cervical vertebra, sequela",S124,0
S12401A,"unspecified nondisplaced fracture of fifth cervical vertebra, initial encounter for closed fracture",S124,0
S12401B,"unspecified nondisplaced fracture of fifth cervical vertebra, initial encounter for open fracture",S124,0
S12401D,"unspecified nondisplaced fracture of fifth cervical vertebra, subsequent encounter for fracture with routine healing",S124,0
S12401G,"unspecified nondisplaced fracture of fifth cervical vertebra, subsequent encounter for fracture with delayed healing",S124,0
S12401K,"unspecified nondisplaced fracture of fifth cervical vertebra, subsequent encounter for fracture with nonunion",S124,0
S12401S,"unspecified nondisplaced fracture of fifth cervical vertebra, sequela",S124,0
S12430A,"unspecified traumatic displaced spondylolisthesis of fifth cervical vertebra, initial encounter for closed fracture",S124,0
S12430B,"unspecified traumatic displaced spondylolisthesis of fifth cervical vertebra, initial encounter for open fracture",S124,0
S12430D,"unspecified traumatic displaced spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with routine healing",S124,0
S12430G,"unspecified traumatic displaced spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with delayed healing",S124,0
S12430K,"unspecified traumatic displaced spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with nonunion",S124,0
S12430S,"unspecified traumatic displaced spondylolisthesis of fifth cervical vertebra, sequela",S124,0
S12431A,"unspecified traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, initial encounter for closed fracture",S124,0
S12431B,"unspecified traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, initial encounter for open fracture",S124,0
S12431D,"unspecified traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with routine healing",S124,0
S12431G,"unspecified traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with delayed healing",S124,0
S12431K,"unspecified traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with nonunion",S124,0
S12431S,"unspecified traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, sequela",S124,0
S1244XA,"type iii traumatic spondylolisthesis of fifth cervical vertebra, initial encounter for closed fracture",S124,0
S1244XB,"type iii traumatic spondylolisthesis of fifth cervical vertebra, initial encounter for open fracture",S124,0
S1244XD,"type iii traumatic spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with routine healing",S124,0
S1244XG,"type iii traumatic spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with delayed healing",S124,0
S1244XK,"type iii traumatic spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with nonunion",S124,0
S1244XS,"type iii traumatic spondylolisthesis of fifth cervical vertebra, sequela",S124,0
S12450A,"other traumatic displaced spondylolisthesis of fifth cervical vertebra, initial encounter for closed fracture",S124,0
S12450B,"other traumatic displaced spondylolisthesis of fifth cervical vertebra, initial encounter for open fracture",S124,0
S12450D,"other traumatic displaced spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with routine healing",S124,0
S12450G,"other traumatic displaced spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with delayed healing",S124,0
S12450K,"other traumatic displaced spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with nonunion",S124,0
S12450S,"other traumatic displaced spondylolisthesis of fifth cervical vertebra, sequela",S124,0
S12451A,"other traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, initial encounter for closed fracture",S124,0
S12451B,"other traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, initial encounter for open fracture",S124,0
S12451D,"other traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, subsequent encounter for fracture with routine healing",S124,0
